created_at,entry_id,field1,field2,field3
2023-07-21 11:11:34 UTC,1,24.838714599609375,48.74114990234375,428
2023-07-21 11:12:05 UTC,2,22.913436889648438,54.06951904296875,534
2023-07-21 11:12:36 UTC,3,21.717147827148438,57.47528076171875,616
