created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-07-23T14:32:01+01:00,1,14:32:01,25.001602172851562,57.86895751953125,987,,,,
2023-07-23T14:32:31+01:00,2,14:32:31,22.884063720703125,64.898681640625,976,,,,
2023-07-23T14:33:02+01:00,3,14:33:01,21.572952270507812,69.19097900390625,978,,,,
2023-07-23T14:33:32+01:00,4,14:33:32,20.782546997070312,72.17864990234375,976,,,,
2023-07-23T14:34:03+01:00,5,14:34:02,20.307235717773438,74.10888671875,975,,,,
2023-07-23T14:34:34+01:00,6,14:34:33,20.02685546875,75.341796875,973,,,,
2023-07-23T14:35:04+01:00,7,14:35:03,19.885330200195312,76.0406494140625,972,,,,
2023-07-23T14:35:34+01:00,8,14:35:34,19.789199829101562,76.4556884765625,972,,,,
2023-07-23T14:36:05+01:00,9,14:36:04,19.714431762695312,76.6754150390625,974,,,,
2023-07-23T14:36:35+01:00,10,14:36:35,19.677047729492188,76.8310546875,973,,,,
2023-07-23T14:37:05+01:00,11,14:37:05,19.666366577148438,76.9256591796875,977,,,,
2023-07-23T14:37:36+01:00,12,14:37:35,19.626312255859375,76.92108154296875,976,,,,
2023-07-23T14:38:06+01:00,13,14:38:06,19.596939086914062,76.94854736328125,978,,,,
2023-07-23T14:38:37+01:00,14,14:38:36,19.602279663085938,76.971435546875,977,,,,
2023-07-23T14:39:07+01:00,15,14:39:07,19.642333984375,76.96380615234375,975,,,,
2023-07-23T14:39:38+01:00,16,14:39:37,19.642333984375,76.97601318359375,975,,,,
2023-07-23T14:40:08+01:00,17,14:40:08,19.599609375,76.9256591796875,974,,,,
2023-07-23T14:40:39+01:00,18,14:40:38,19.628982543945312,76.90887451171875,974,,,,
2023-07-23T14:41:09+01:00,19,14:41:09,19.6209716796875,76.88751220703125,975,,,,
2023-07-23T14:41:39+01:00,20,14:41:39,19.615631103515625,76.910400390625,974,,,,
2023-07-23T14:42:10+01:00,21,14:42:10,19.6209716796875,76.910400390625,975,,,,
2023-07-23T14:42:40+01:00,22,14:42:40,19.628982543945312,76.873779296875,975,,,,
2023-07-23T14:43:11+01:00,23,14:43:10,19.626312255859375,76.86309814453125,977,,,,
2023-07-23T14:43:41+01:00,24,14:43:41,19.650344848632812,76.84783935546875,979,,,,
2023-07-23T14:44:12+01:00,25,14:44:11,19.647674560546875,76.7547607421875,981,,,,
2023-07-23T14:44:42+01:00,26,14:44:42,19.639663696289062,76.71051025390625,984,,,,
2023-07-23T14:45:13+01:00,27,14:45:12,19.687728881835938,76.678466796875,984,,,,
2023-07-23T14:45:43+01:00,28,14:45:43,19.666366577148438,76.71661376953125,992,,,,
2023-07-23T14:46:14+01:00,29,14:46:13,19.661026000976562,76.74102783203125,992,,,,
2023-07-23T14:46:44+01:00,30,14:46:44,19.67437744140625,76.69219970703125,993,,,,
2023-07-23T14:47:14+01:00,31,14:47:14,19.682388305664062,76.63421630859375,990,,,,
2023-07-23T14:47:45+01:00,32,14:47:44,19.693069458007812,76.58538818359375,990,,,,
2023-07-23T14:48:15+01:00,33,14:48:15,19.666366577148438,76.5777587890625,991,,,,
2023-07-23T14:48:46+01:00,34,14:48:45,19.698410034179688,76.55029296875,991,,,,
2023-07-23T14:49:16+01:00,35,14:49:16,19.693069458007812,76.64337158203125,993,,,,
2023-07-23T14:49:47+01:00,36,14:49:46,19.68505859375,76.49383544921875,993,,,,
2023-07-23T14:50:17+01:00,37,14:50:17,19.722442626953125,76.47705078125,993,,,,
2023-07-23T14:50:48+01:00,38,14:50:47,19.709091186523438,76.52587890625,992,,,,
2023-07-23T14:51:18+01:00,39,14:51:18,19.68505859375,76.50604248046875,991,,,,
2023-07-23T14:51:48+01:00,40,14:51:48,19.711761474609375,76.47857666015625,988,,,,
2023-07-23T14:52:19+01:00,41,14:52:18,19.701080322265625,76.50299072265625,988,,,,
2023-07-23T14:52:49+01:00,42,14:52:49,19.682388305664062,76.5289306640625,986,,,,
2023-07-23T14:53:20+01:00,43,14:53:19,19.69573974609375,76.53961181640625,987,,,,
2023-07-23T14:53:50+01:00,44,14:53:50,19.714431762695312,76.53656005859375,987,,,,
