created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2023-08-10T16:25:57+01:00,46,2023-08-10T16:25:57+0100,20.691757202148438,72.00775146484375,549,,,False,,,,
2023-08-10T16:26:28+01:00,47,2023-08-10T16:26:27+0100,20.694427490234375,71.94366455078125,552,,,False,,,,
2023-08-10T16:26:58+01:00,48,2023-08-10T16:26:58+0100,20.707778930664062,71.9329833984375,555,,,False,,,,
2023-08-10T16:27:29+01:00,49,2023-08-10T16:27:28+0100,20.739822387695312,71.90399169921875,558,,,False,,,,
2023-08-10T16:27:59+01:00,50,2023-08-10T16:27:59+0100,20.745162963867188,71.80633544921875,563,,,False,,,,
2023-08-10T16:28:30+01:00,51,2023-08-10T16:28:29+0100,20.761184692382812,71.81854248046875,565,,,False,,,,
2023-08-10T16:29:00+01:00,52,2023-08-10T16:29:00+0100,20.761184692382812,71.807861328125,566,,,False,,,,
2023-08-10T16:29:31+01:00,53,2023-08-10T16:29:30+0100,20.7745361328125,71.7864990234375,583,,,False,,,,
2023-08-10T16:30:01+01:00,54,2023-08-10T16:30:00+0100,20.779876708984375,71.722412109375,587,,,False,,,,
2023-08-10T16:30:31+01:00,55,2023-08-10T16:30:31+0100,20.803909301757812,71.69189453125,590,,,False,,,,
2023-08-10T16:31:02+01:00,56,2023-08-10T16:31:01+0100,20.822601318359375,71.6278076171875,591,,,False,,,,
2023-08-10T16:31:32+01:00,57,2023-08-10T16:31:32+0100,20.8172607421875,71.6278076171875,605,,,False,,,,
2023-08-10T16:32:03+01:00,58,2023-08-10T16:32:02+0100,20.822601318359375,71.57440185546875,610,,,False,,,,
2023-08-10T16:32:33+01:00,59,2023-08-10T16:32:33+0100,20.857315063476562,71.53472900390625,626,,,False,,,,
2023-08-10T16:33:03+01:00,60,2023-08-10T16:33:03+0100,20.84930419921875,71.50115966796875,627,,,False,,,,
2023-08-10T16:33:34+01:00,61,2023-08-10T16:33:34+0100,20.857315063476562,71.47979736328125,629,,,False,,,,
2023-08-10T16:34:04+01:00,62,2023-08-10T16:34:04+0100,20.8599853515625,71.4813232421875,633,,,False,,,,
2023-08-10T16:34:35+01:00,63,2023-08-10T16:34:35+0100,20.867996215820312,71.4599609375,636,,,False,,,,
