created_at,entry_id,field1,field2,field3,field4,field5,field6
2023-08-06T21:54:31+0100,1,2023-08-06T21:54:31+0100,29.869537353515625,34.234619140625,1043,27.6,40.0
2023-08-06T21:54:39+0100,2,2023-08-06T21:54:39+0100,29.386215209960938,35.22186279296875,1024,27.6,40.0
2023-08-06T21:54:48+0100,3,2023-08-06T21:54:48+0100,28.686599731445312,36.8499755859375,1011,27.6,40.0
2023-08-06T21:54:56+0100,4,2023-08-06T21:54:56+0100,28.072433471679688,38.1988525390625,986,27.6,40.0
2023-08-06T21:55:05+0100,5,2023-08-06T21:55:05+0100,27.533035278320312,39.18609619140625,981,27.6,40.0
2023-08-06T21:55:13+0100,6,2023-08-06T21:55:13+0100,27.314071655273438,39.61334228515625,979,27.6,40.0
2023-08-06T21:55:22+0100,7,2023-08-06T21:55:22+0100,26.886825561523438,40.48614501953125,974,27.6,40.0
2023-08-06T21:55:30+0100,8,2023-08-06T21:55:30+0100,26.512985229492188,41.204833984375,972,27.6,40.0
2023-08-06T21:55:39+0100,9,2023-08-06T21:55:39+0100,26.216583251953125,41.95709228515625,965,27.6,40.0
2023-08-06T21:55:47+0100,10,2023-08-06T21:55:47+0100,26.077728271484375,42.30499267578125,962,27.6,40.0
2023-08-06T21:55:56+0100,11,2023-08-06T21:55:56+0100,25.821380615234375,43.194580078125,963,27.6,40.0
2023-08-06T21:56:05+0100,12,2023-08-06T21:56:05+0100,25.610427856445312,43.77288818359375,963,27.6,40.0
2023-08-06T21:56:13+0100,13,2023-08-06T21:56:13+0100,25.428848266601562,44.1497802734375,960,27.6,40.0
2023-08-06T21:56:21+0100,14,2023-08-06T21:56:21+0100,25.340728759765625,44.3115234375,957,27.6,40.0
2023-08-06T21:56:30+0100,15,2023-08-06T21:56:30+0100,25.212554931640625,44.54498291015625,952,27.6,40.0
2023-08-06T21:56:39+0100,16,2023-08-06T21:56:39+0100,25.0897216796875,44.7662353515625,949,27.6,40.0
2023-08-06T21:56:47+0100,17,2023-08-06T21:56:47+0100,24.99359130859375,45.21026611328125,950,27.6,40.0
2023-08-06T21:56:56+0100,18,2023-08-06T21:56:56+0100,24.902801513671875,45.51239013671875,953,27.6,40.0
2023-08-06T21:57:04+0100,19,2023-08-06T21:57:04+0100,24.873428344726562,45.56732177734375,955,27.6,40.0
