created_at,entry_id,field1,field2,field3,field4,field5,field6
2023-08-06T14:44:45+0100,1,2023-08-06T14:44:45+0100,29.188613891601562,27.88238525390625,464,25.3,31.0
2023-08-06T14:44:53+0100,2,2023-08-06T14:44:53+0100,28.515701293945312,28.59954833984375,414,25.3,31.0
2023-08-06T14:45:01+0100,3,2023-08-06T14:45:01+0100,27.669219970703125,29.91943359375,423,25.3,31.0
2023-08-06T14:45:08+0100,4,2023-08-06T14:45:08+0100,27.255325317382812,30.52520751953125,427,25.3,31.0
2023-08-06T14:45:16+0100,5,2023-08-06T14:45:16+0100,26.539688110351562,31.6009521484375,422,25.3,31.0
2023-08-06T14:45:24+0100,6,2023-08-06T14:45:24+0100,25.893478393554688,32.4493408203125,417,25.3,31.0
2023-08-06T14:45:32+0100,7,2023-08-06T14:45:32+0100,25.6451416015625,32.818603515625,419,25.3,31.0
2023-08-06T14:45:40+0100,8,2023-08-06T14:45:40+0100,25.172500610351562,33.59832763671875,412,25.3,31.0
2023-08-06T14:45:48+0100,9,2023-08-06T14:45:48+0100,24.718551635742188,34.34906005859375,412,25.3,31.0
2023-08-06T14:45:56+0100,10,2023-08-06T14:45:56+0100,24.494247436523438,34.69696044921875,411,25.3,31.0
2023-08-06T14:46:04+0100,11,2023-08-06T14:46:04+0100,24.120407104492188,35.467529296875,405,25.3,31.0
2023-08-06T14:46:12+0100,12,2023-08-06T14:46:12+0100,23.717193603515625,36.0748291015625,422,25.3,31.0
2023-08-06T14:46:20+0100,13,2023-08-06T14:46:20+0100,23.532943725585938,36.35711669921875,419,25.3,31.0
2023-08-06T14:46:28+0100,14,2023-08-06T14:46:28+0100,23.244552612304688,36.74774169921875,420,25.3,31.0
2023-08-06T14:46:36+0100,15,2023-08-06T14:46:36+0100,22.977523803710938,37.213134765625,418,25.3,31.0
2023-08-06T14:46:41+0100,16,2023-08-06T14:46:41+0100,22.83599853515625,37.36724853515625,415,25.3,31.0
2023-08-06T14:46:46+0100,17,2023-08-06T14:46:46+0100,22.710494995117188,37.58087158203125,415,25.3,31.0
2023-08-06T14:46:51+0100,18,2023-08-06T14:46:51+0100,22.598342895507812,37.76397705078125,403,25.3,31.0
2023-08-06T14:46:56+0100,19,2023-08-06T14:46:56+0100,22.486190795898438,37.8814697265625,406,25.3,31.0
2023-08-06T14:47:01+0100,20,2023-08-06T14:47:01+0100,22.382049560546875,38.104248046875,406,25.3,31.0
2023-08-06T14:47:06+0100,21,2023-08-06T14:47:06+0100,22.253875732421875,38.2476806640625,409,25.3,31.0
2023-08-06T14:47:11+0100,22,2023-08-06T14:47:11+0100,22.1630859375,38.41094970703125,409,25.3,31.0
2023-08-06T14:47:16+0100,23,2023-08-06T14:47:16+0100,22.093658447265625,38.616943359375,408,25.3,31.0
2023-08-06T14:47:22+0100,24,2023-08-06T14:47:22+0100,21.976165771484375,38.7359619140625,409,25.3,31.0
2023-08-06T14:47:27+0100,25,2023-08-06T14:47:27+0100,21.914749145507812,38.86871337890625,416,25.3,31.0
2023-08-06T14:47:32+0100,26,2023-08-06T14:47:32+0100,21.805267333984375,39.06707763671875,426,25.3,31.0
2023-08-06T14:47:37+0100,27,2023-08-06T14:47:37+0100,21.719818115234375,39.27154541015625,429,25.3,31.0
2023-08-06T14:47:42+0100,28,2023-08-06T14:47:42+0100,21.653060913085938,39.5233154296875,428,25.3,31.0
2023-08-06T14:47:47+0100,29,2023-08-06T14:47:47+0100,21.5435791015625,39.6881103515625,428,25.3,31.0
2023-08-06T14:47:52+0100,30,2023-08-06T14:47:52+0100,21.431427001953125,39.862060546875,428,25.3,31.0
2023-08-06T14:47:57+0100,31,2023-08-06T14:47:57+0100,21.388702392578125,40.0787353515625,428,25.3,31.0
2023-08-06T14:48:03+0100,32,2023-08-06T14:48:03+0100,21.23382568359375,40.34881591796875,418,25.3,31.0
2023-08-06T14:48:08+0100,33,2023-08-06T14:48:08+0100,21.16973876953125,40.521240234375,419,25.3,31.0
2023-08-06T14:48:13+0100,34,2023-08-06T14:48:13+0100,21.100311279296875,40.64178466796875,421,25.3,31.0
2023-08-06T14:48:18+0100,35,2023-08-06T14:48:18+0100,21.038894653320312,40.72418212890625,420,25.3,31.0
2023-08-06T14:48:23+0100,36,2023-08-06T14:48:23+0100,20.972137451171875,40.86151123046875,420,25.3,31.0
2023-08-06T14:48:28+0100,37,2023-08-06T14:48:28+0100,20.910720825195312,40.9576416015625,420,25.3,31.0
2023-08-06T14:48:33+0100,38,2023-08-06T14:48:33+0100,20.846633911132812,41.02630615234375,420,25.3,31.0
2023-08-06T14:48:38+0100,39,2023-08-06T14:48:38+0100,20.7958984375,41.0980224609375,419,25.3,31.0
2023-08-06T14:48:43+0100,40,2023-08-06T14:48:43+0100,20.72113037109375,41.1712646484375,416,25.3,31.0
2023-08-06T14:48:49+0100,41,2023-08-06T14:48:49+0100,20.649032592773438,41.2933349609375,417,25.3,31.0
2023-08-06T14:48:54+0100,42,2023-08-06T14:48:54+0100,20.619659423828125,41.40472412109375,415,25.3,31.0
2023-08-06T14:48:59+0100,43,2023-08-06T14:48:59+0100,20.52886962890625,41.40625,416,25.3,31.0
2023-08-06T14:49:04+0100,44,2023-08-06T14:49:04+0100,20.502166748046875,41.5679931640625,416,25.3,31.0
2023-08-06T14:49:09+0100,45,2023-08-06T14:49:09+0100,20.451431274414062,41.5985107421875,415,25.3,31.0
2023-08-06T14:49:14+0100,46,2023-08-06T14:49:14+0100,20.40069580078125,41.67327880859375,414,25.3,31.0
2023-08-06T14:49:19+0100,47,2023-08-06T14:49:19+0100,20.328598022460938,41.7999267578125,414,25.3,31.0
2023-08-06T14:49:24+0100,48,2023-08-06T14:49:24+0100,20.232467651367188,41.9952392578125,415,25.3,31.0
2023-08-06T14:49:30+0100,49,2023-08-06T14:49:30+0100,20.173721313476562,42.0806884765625,416,25.3,31.0
2023-08-06T14:49:35+0100,50,2023-08-06T14:49:35+0100,20.168380737304688,42.138671875,417,25.3,31.0
2023-08-06T14:49:40+0100,51,2023-08-06T14:49:40+0100,20.147018432617188,42.24700927734375,405,25.3,31.0
2023-08-06T14:49:45+0100,52,2023-08-06T14:49:45+0100,20.096282958984375,42.30194091796875,399,25.3,31.0
2023-08-06T14:49:50+0100,53,2023-08-06T14:49:50+0100,20.045547485351562,42.35687255859375,397,25.3,31.0
2023-08-06T14:49:55+0100,54,2023-08-06T14:49:55+0100,19.97344970703125,42.48809814453125,396,25.3,31.0
2023-08-06T14:50:00+0100,55,2023-08-06T14:50:00+0100,19.938735961914062,42.596435546875,392,25.3,31.0
2023-08-06T14:50:05+0100,56,2023-08-06T14:50:05+0100,19.890670776367188,42.69256591796875,391,25.3,31.0
2023-08-06T14:50:11+0100,57,2023-08-06T14:50:11+0100,19.85595703125,42.79022216796875,393,25.3,31.0
2023-08-06T14:50:16+0100,58,2023-08-06T14:50:16+0100,19.829254150390625,42.8680419921875,396,25.3,31.0
2023-08-06T14:50:21+0100,59,2023-08-06T14:50:21+0100,19.775848388671875,43.01300048828125,402,25.3,31.0
2023-08-06T14:50:26+0100,60,2023-08-06T14:50:26+0100,19.725112915039062,43.07098388671875,401,25.3,31.0
2023-08-06T14:50:31+0100,61,2023-08-06T14:50:31+0100,19.690399169921875,43.15948486328125,402,25.3,31.0
2023-08-06T14:50:36+0100,62,2023-08-06T14:50:36+0100,19.642333984375,43.2464599609375,404,25.3,31.0
2023-08-06T14:50:41+0100,63,2023-08-06T14:50:41+0100,19.596939086914062,43.31512451171875,403,25.3,31.0
2023-08-06T14:50:46+0100,64,2023-08-06T14:50:46+0100,19.495468139648438,43.4112548828125,404,25.3,31.0
2023-08-06T14:50:52+0100,65,2023-08-06T14:50:52+0100,19.43939208984375,43.51959228515625,404,25.3,31.0
2023-08-06T14:50:57+0100,66,2023-08-06T14:50:57+0100,19.39666748046875,43.6065673828125,403,25.3,31.0
2023-08-06T14:51:02+0100,67,2023-08-06T14:51:02+0100,19.369964599609375,43.7225341796875,402,25.3,31.0
2023-08-06T14:51:07+0100,68,2023-08-06T14:51:07+0100,19.28985595703125,43.84765625,392,25.3,31.0
2023-08-06T14:51:12+0100,69,2023-08-06T14:51:12+0100,19.255142211914062,43.939208984375,392,25.3,31.0
2023-08-06T14:51:17+0100,70,2023-08-06T14:51:17+0100,19.220428466796875,43.94683837890625,389,25.3,31.0
2023-08-06T14:51:22+0100,71,2023-08-06T14:51:22+0100,19.177703857421875,44.03533935546875,379,25.3,31.0
2023-08-06T14:51:27+0100,72,2023-08-06T14:51:27+0100,19.1510009765625,44.11773681640625,382,25.3,31.0
2023-08-06T14:51:33+0100,73,2023-08-06T14:51:33+0100,19.11895751953125,44.16656494140625,381,25.3,31.0
