created_at,entry_id,field1,field2,field3,field4,field5,field6
2023-08-05T22:07:03+0100,1,2023-08-05T22:07:03+0100,25.482254028320312,48.64654541015625,1174,25.3,50.0
2023-08-05T22:07:33+0100,2,2023-08-05T22:07:33+0100,23.3380126953125,54.5867919921875,1168,25.3,51.0
2023-08-05T22:08:04+0100,3,2023-08-05T22:08:04+0100,22.026901245117188,58.3251953125,1174,25.3,51.0
2023-08-05T22:08:34+0100,4,2023-08-05T22:08:34+0100,21.22314453125,60.8551025390625,1172,25.3,51.0
2023-08-05T22:09:04+0100,5,2023-08-05T22:09:04+0100,20.713119506835938,62.53662109375,1171,25.3,51.0
2023-08-05T22:09:35+0100,6,2023-08-05T22:09:35+0100,20.42205810546875,63.5986328125,1172,25.3,51.0
2023-08-05T22:10:05+0100,7,2023-08-05T22:10:05+0100,20.22979736328125,64.30816650390625,1172,25.3,51.0
2023-08-05T22:10:36+0100,8,2023-08-05T22:10:36+0100,20.114974975585938,64.6759033203125,1173,25.3,51.0
2023-08-05T22:11:06+0100,9,2023-08-05T22:11:06+0100,20.042877197265625,64.88800048828125,1174,25.3,51.0
2023-08-05T22:11:37+0100,10,2023-08-05T22:11:37+0100,19.984130859375,65.06195068359375,1174,25.3,50.0
2023-08-05T22:12:07+0100,11,2023-08-05T22:12:07+0100,19.970779418945312,65.22674560546875,1176,25.3,51.0
2023-08-05T22:12:38+0100,12,2023-08-05T22:12:38+0100,19.946746826171875,65.29388427734375,1178,25.3,50.0
2023-08-05T22:13:08+0100,13,2023-08-05T22:13:08+0100,19.917373657226562,65.38238525390625,1180,25.3,50.0
2023-08-05T22:13:39+0100,14,2023-08-05T22:13:39+0100,19.898681640625,65.51055908203125,1183,25.3,51.0
2023-08-05T22:14:09+0100,15,2023-08-05T22:14:09+0100,19.871978759765625,65.49835205078125,1186,25.3,50.0
2023-08-05T22:14:39+0100,16,2023-08-05T22:14:39+0100,19.853286743164062,65.53497314453125,1189,25.3,50.0
2023-08-05T22:15:10+0100,17,2023-08-05T22:15:10+0100,19.879989624023438,65.51361083984375,1188,25.3,50.0
2023-08-05T22:15:40+0100,18,2023-08-05T22:15:40+0100,19.842605590820312,65.56396484375,1188,25.3,50.0
2023-08-05T22:16:11+0100,19,2023-08-05T22:16:11+0100,19.821243286132812,65.6463623046875,1190,25.3,50.0
2023-08-05T22:16:41+0100,20,2023-08-05T22:16:41+0100,19.818572998046875,65.64483642578125,1192,25.3,50.0
2023-08-05T22:17:12+0100,21,2023-08-05T22:17:12+0100,19.797210693359375,65.6341552734375,1193,25.3,50.0
2023-08-05T22:17:42+0100,22,2023-08-05T22:17:42+0100,19.794540405273438,65.655517578125,1193,25.3,50.0
2023-08-05T22:18:13+0100,23,2023-08-05T22:18:13+0100,19.807891845703125,65.65093994140625,1196,25.3,50.0
2023-08-05T22:18:43+0100,24,2023-08-05T22:18:43+0100,19.797210693359375,65.70281982421875,1197,25.3,50.0
2023-08-05T22:19:14+0100,25,2023-08-05T22:19:14+0100,19.82391357421875,65.68145751953125,1199,25.3,50.0
2023-08-05T22:19:44+0100,26,2023-08-05T22:19:44+0100,19.794540405273438,65.667724609375,1201,25.3,50.0
2023-08-05T22:20:14+0100,27,2023-08-05T22:20:14+0100,19.797210693359375,65.74859619140625,1202,25.3,50.0
2023-08-05T22:20:45+0100,28,2023-08-05T22:20:45+0100,19.751815795898438,65.78521728515625,1204,25.3,50.0
2023-08-05T22:21:15+0100,29,2023-08-05T22:21:15+0100,19.765167236328125,65.80352783203125,1205,25.3,50.0
2023-08-05T22:21:46+0100,30,2023-08-05T22:21:46+0100,19.762496948242188,65.81268310546875,1206,25.3,50.0
2023-08-05T22:22:16+0100,31,2023-08-05T22:22:16+0100,19.762496948242188,65.802001953125,1208,25.3,50.0
2023-08-05T22:22:47+0100,32,2023-08-05T22:22:47+0100,19.751815795898438,65.79742431640625,1210,25.3,50.0
2023-08-05T22:23:17+0100,33,2023-08-05T22:23:17+0100,19.725112915039062,65.86456298828125,1213,25.3,50.0
2023-08-05T22:23:48+0100,34,2023-08-05T22:23:48+0100,19.71710205078125,65.9423828125,1216,25.3,50.0
2023-08-05T22:24:18+0100,35,2023-08-05T22:24:18+0100,19.687728881835938,65.997314453125,1217,25.3,50.0
2023-08-05T22:24:48+0100,36,2023-08-05T22:24:48+0100,19.719772338867188,66.0003662109375,1233,25.3,50.0
2023-08-05T22:25:19+0100,37,2023-08-05T22:25:19+0100,19.687728881835938,66.0552978515625,1234,25.3,50.0
2023-08-05T22:25:49+0100,38,2023-08-05T22:25:49+0100,19.703750610351562,66.05072021484375,1237,25.3,50.0
